Firm Name,Address,Representative,Phone,Email,Website
East West Engineering Service (P) Ltd. (EWES),"Bansbari, Kathmandu-3, NepalPo. Box. 8621",Er. Hari Bhakta Gurung,01-4373316,info@ewesnepal.com,www.ewesnepal.com
MULTI Lab (P) Ltd.,"Lalitpur, NepalPo.b. 5720",Er. Murali Narayan Deo,01-5448900,multilab900@gmail.com,www.multinepal.com/multilab
Total Management Services (P) Ltd. [TMS],"Lalupate Marg-1, Kamalpokhari, Kathmandu, NepalG.P.O Box: 888",Mr. Prajol Lal Shrestha,977-01-5439182,info@tms.com.np,www.tms.com.np
Everest Engineering Consultant (P) Ltd.,"Om Sai Marga, Baneshwor, NepalP.O Box 19103",Er. Krishna Dev Yadhav,4481449,everest_consultant@yahoo.com,N/A
Fuji International Design Associates (FIDA),"Kupondole-10, Lalitpur, Nepal",Er. Krishna Singh Basnet,01-5535190,fidanepal@yahoo.com,www.facebook.com/fidanepal
Design Consultants (P) Ltd.,"Kupondole Ward no 10, Lalitpur Municipality",Er. Shakti Man Dangol,01-5180334,shakti@dconsult.com.np,www.dconsult.com.np
SITARA Consult (P) Ltd.,"Patan Dhoka, Lalitpur, NepalP.O. Box: 2458, Sundhara, Kathmandu",Er. Ashaya Ojha,01-5549045,sitaraconsult.np@gmail.com,www.sitaraconsult.com.np
AVIYAAN Consulting (P) Ltd.,"254 Ekata Marga, New Baneshwor, Kathmandu -31, NepalPO Box No:86",Er. Prashant Malla,"01-4104319, 01- 4104307",info@aviyaan.com,www.aviyaan.com
Material Test (P) Ltd.,"Mid-Baneshwor, Kathmandu, Nepal",Er. Madhukar Karki,01-4586092,"mtest2063@gmail.com, matecon.lab@gmail.com",www.materialtest.com.np
Clean Development Consult (P) Ltd. (CDC),"Babarmahal, Kathmandu, NepalP.O. Box 4542",Er. Sudeep Hada,01-4240295,cleandevelopmentconsult@gmail.com,N/A
Inclusive Consultants (P) Ltd.,"Sitapaila, Kathmandu, Nepal",Mr. Anil Neupane,4034880,inclusive.consultants@gmail.com,www.inclusive.consultants.com.np
Rural Infrastructure Developers Consultants (P) Ltd.,"Buddhanagar, Kathmandu, Nepal",Mr. Jagat Ranabhat,4781740,ridc2006@gmail.com,www.ridc.com.np
Civil Informatics And Solutions (P) Ltd. (CIAS),"Chakupat, Lalitpur Sub-metropolitancity. W.N-11, Lalitpur, Nepal",Er. Sanjeeb Kumar Jha,01-5260314,info@cias.com.np,www.cias.com.np
Engineering Consultancy for Constructive Development Efforts in Nepal (P) Ltd.[ECoCoDE Nepal (P) Ltd.],"Sanepa, Lalitpur, NepalGPO Box 8973 NPC 279",Er. Kumar Dhamala,977-1-5919016,ecocodenepal@ntc.net.np,www.ecocodenepal.com
Alliance Consults (P) Ltd.,"Shantinagar, Kathmandu, Nepal",Er. Awash Ghimire,4107768,awash229@gmail.com,www.allianceconsults.com
SERC Consulting Engineers (P) Ltd.,"Kalikasthan-29, KathmanduP.O.Box No 10168",Er. Krishna GC,9851137673,serc2046@gmail.com,N/A
Engineering & Planning Solution Consultancy (P) Ltd.,"Mahalaxmi -1, Imadol, Lalitpur, Nepal",Er. Ranjit Lalchan,01-5201784,info@epsconsultant.com.np,www.epsconsultant.com.np
Grid Nepal Design Associates (P) Ltd.,"Sangam basti, House No. 216, Dhobighat-03, Lalitpur, Nepal",Er. Sanjay Adhikari,01-5188484,"gridnepal_design@yahoo.com, gridnepaldesign2018@gmail.com",N/A
Unique Engineering Consultancy (P) Ltd.,"Jwagal-10, Kupondol, LalitpurP.O Box 5568",Er. Umesh Prasad Chaudhari,015449332,"unecnepal@gmail.com,",www.unecnepal.com.np
Paragon Engineering Consultancy and Research Centre (P) Ltd.,"Bakhundole, Lalitpur, NepalPO Box: 19605",Er. Narayan Hari Rijal,01-5430600,info@paragon.com.np,www.paragon.com.np
Digicon Engineering Consult (P) Ltd.,"Sanepa, Lalitpur, NepalP.O. Box No.: 8505",Er. Ram Udar Yadav,01-5454028,digicondoc@gmail.com,www.facebook.com/digicon.com.np
RIBS Engineering Consult,"House No.-80/40 Durga Devi Marga-50488 (Kopon Marg) Maharjgunj, Kathmandu, Nepal",Er. Sunil Kumar Jha,01-4370965,ribsengineeringconsult@gmail.com,N/A
Project Engineering and Environmental Studies (PEES) Consultant (P) Ltd.,"Koteshwor-32, Kathmandu, Nepal",Er. Habendra Prasad Dev,01-5242396,peesconsult@gmail.com,www.pees.com.np
IPTM Nepal (P) Ltd.,"Thapathali, Kathmandu",Er. Nishesh Shakya,01-4469808,iptmnepal@gmail.com,www.iptmnepal.com
Rajdevi Engineering Consultant (P) Ltd.,"New Baneshwor, Kathmandu, Nepal",Er. Bishal Dev,5242043,info@rajdevi.com.np,www.rajdevi.com.np
PACE Consultant (P) Ltd.,"Narayan Gopal Chowk, Maharajgunj, Kathmandu, NepalG.P.O. Box 8975, EPC: 5453",Er. Bishnu Prasad Khanal,"01-4720718, 01-4720565","paceconsultant@gmail.com, info@pacenp.com",www.pace.com.np
Grid Consult (P) Ltd.,"Binayak Marga-10, Baneshwor, Kathmandu, Nepal",Ar. Aruna Tandukar,01- 4771633,gridconsult.consult@gmail.com,www.facebook.com/gridconsult
Socio Technical Management Services (P) Ltd. (STMS),"House number: 569/37, Rashtra-pati Marg, Bagdole-4, Lalitpur, Kathmandu, NepalPB. NO. 8975 EPC 1933",Er. Ramesh Chandra Jha,01-5190292,stmspvtltd@gmail.com,g.co/kgs/93btWU
Civil Engineering Research and Consultancy (P) Ltd. (CERC),"Kupondole-10, Lalitpur, NepalP.O Box: 9748",Er. Rupak Bastola,01-5428787,cercpvtltd@gmail.com,
A. Not Architecture N. Architects (P) Ltd.,"Lalitpur Metropolitan City, Talchhikhel, Satdobato, Lalitpur, Nepal",Ar. Damodar Acharya,"01-5526061, 01-5524998",anotarchitect@gmail.com,www.anotarchitects.com
Birat Infrastructure Development (P) Ltd.,"Sai Marg, Ward 3 Lalitpur, Nepal",Er. Subhash Gachhadar,5522953,info@biratinfradev.com,www.biratinfradev.com
Executive Consulting Engineering and Planner (P) Ltd. (ECEP),"Lazimpat, Kathmandu, Nepal",Er. Laxman K.C.,01-4424915,laxmankc2000@gmail.com,www.executivecep.com
Shrestha Consultant (P) Ltd.,"Kusunti, Lalitpur Metropolitan City, Ward no. 13",Er. Indra Lal Shrestha,01-5432305,"shrestha_consultant@hotmail.com, indra@shresthaconsultant.com.np",www.shresthaconsultant.com.np
D K Consult (P) Ltd.,"141 MinBhawan, Kathmandu",Dr. Er. Krishna P Dulal,4115206,kpdulal@gmail.com,www.dkconsult.com.np
Pumori Engineering Services (P) Ltd.,"Basanta Marg-351, Jyotishree Building, Babarmahal, KMC-11, Nepal",Er. Sabin Khadka,"4216034, 4239983",,www.pumorigroup.com
SLATE Consultants (P) Ltd.,"Jwagal, Lalitpur, Nepal",Er. Kamal Karki,01-5261104,slateconsult@gmail.com,www.slatenepal.com/
Extreme Engineering Solutions (P) Ltd,"Kupondole-1, Lalitpur, Nepal",Er. Manas Karki,"5180391, 5523677",extreme.engg.solns@gmail.com,www.exesnepal.com.np
Machhapuchhre Consultancy (P) Ltd.,"#192 BP Marg/ Newroad, Pokhara Metropolis-9 Kaski District Gandaki Province, Nepal",Ar. Baburam Baral,0977-61-571622,"maconpokhara@gmail.com, barabr45@gmail.com",www.maconpokhara.business.site
Homeland Engineering Consultancy (P) Ltd.,"G.P.O. Box 8975 EPC 1337, Kathmandu, Nepal",Er. Govinda Dev Adhikari,4232034,homeland.engg.consultancy@gmail.com,homelandengineering.com.np
Prime Engineering & Management (P) Ltd.,"Bharatpur Metropolitan City Ward No.-7, Krishnapur, Chitwan, Nepal",Er. Shalik Ram Paudel,9845123456,prime.econsult@gmail.com,N/A
PLUSH Engineers and Architects (P) Ltd.,"Baneshwor, KathmanduP.O. Box 5965",Er. Indra Kumar Paudyal,01-4105072,plushpvtltd@gmail.com,N/A
MEH Geo-Engineering Services (P) Ltd.,"Lalitpur Ward No. 22, Nepal",Er. Bijendra Bade Shrestha,"5261538, 5261539",mehgeoengineering@gmail.com,N/A
Sakhuwa Engineering Consultancy (P) Ltd.,"Imadole-6, Lalitpur, Nepal",Er. Ranjit Kumar Shah,01-5202473,sakhuwaengineering@gmail.com,www.sakhuwaengineering.com.np
CADS Consultancy & Hydro-Research (P) Ltd.,"Kandevtasthan, Kupondole, Lalitpur",Er. Sujan Tripathi,01-5545786,cads_hydro@live.com,www.cads.com.np
SAP Water and Energy Developers’ (P) Ltd. (SAP),"Mid-Baneshwor, Kathmandu, Nepal",Er. Rajan Raj Pandey,01-4579537,sapwaterandenergy@gmail.com,N/A
Green Planet Engineer’s Associate (P) Ltd.,"Kutubahal, Chabahil-7, Kathmandu, Nepal",Er. Bishnu Prasad Koju,01-4568885,greenplanet.aso@gmail.com,N/A
Guidance Engineering Consult & Research (P) Ltd.,"Satungal, Kathmandu, Nepal",Er. Gajendra Prasad Thapaliya,5108063,guidanceengineering@yahoo.com,N/A
“create acme associates” [ACME Group Co.],"GPO 1344, Bakhundole, Lalitpur, Kathmandu, Nepal",Er. Ritesh Amatya,01- 5452413 / 5010513,info@acmenepal.com,www.acmenepal.com
GeoCom International (P) Ltd.,"Dhobighat-04, Lalitpur, Nepal",Er. Rabi Bhushan Jha,"01-5153049, 01-5153054",geocomnc@gmail.com,www.geocomintl.com
Vastumandap Consultancy (P) Ltd.,"16 Nayabazar, KMC Kathmandu, Nepal",Er. Umesh Silwal,01-4353458,vastu123@gmail.com,
Rural Infrastructure Development and Research Consultant Nepal (RIDARC Nepal),"G.P.O. Box No. 4470-14, Bhaisepati, Karyabinayak, Municipality-01, Lalitpur, Nepal",Er. Hem Raj Shahi,5593065,ridarcnp@gmail.com,www.ridarcnepal.com.np
Bonafide Engineering Consultancy (P) Ltd.,"Sanepa, Lalitpur, Nepal",Er. Anil Manandhar,01-5403222,bonafideengineering@gmail.com,www.bonafide.com.np/
Radiant Consulting Consortium (P) Ltd.,"Chakupat, Lalitpur, Nepal",Er. Sujit Shrestha,01-5260410,radiant.cc@hotmail.com,N/A
Naya Rastriya Engineering Consultancy (P) Ltd.,"Khumaltar, Lalitpur, Nepal",Er. Sikindar Kumar Chaudhary,01-5151259,nrecgroup@gmail.com,www.nrecgroup.org
Technocrat Consultancy (P) Ltd.,"Prayag marg chowk, Shantinagar, Kathmandu",Er. Manish Karn,01-4620197,technocrat2057@gmail.com,N/A
National Synergy Engineering Solutions Pvt Ltd.,"Shankhamul, Kathmandu, Nepal",Er. Rabin Kumar Dahal,4782601,nationalsess@gmail.com,N/A
Wekreate International (P) Ltd.,"Sinamangal Ward No. 9 KTM, Nepal",Mr. Bishwa Raj Panday,4487528,business@weki.com.np,www.weki.com.np
Three Dots Architects (P) Ltd.,"Jawalakhel, Lalitpur-20, Nepal",Ar. Sandip Puri,01-5520823,3dotsarchitects@gmail.com,www.3dotsarchitects.com.np
One Line Architects (P) Ltd.,"Jawalakhel, LMC-4, Lalitpur, Nepal",Ar. Rakesh Maharjan,9851223595,onelinearchitects@gmail.com,onelinearchitects.business.site/
Innovation Engineering Associates (P) Ltd.,"KMC-16, Nayabazar, Kathmandu, Nepal",Er. Sushil Dawadi,01-4989802,innovation073@gmail.com,www.facebook.com/IEA073
Research for National Development Centre (P) Ltd. (RND Centre),"Kupondole-01, Lalitpur, Nepal",Er. Radha Krishna Mallik,01-5455866,rndc.np@gmail.com,www.rndcentre.com
Abhiyantra Consulting (P) Ltd.,"New-Baneshwor, Kathmandu, NepalPO Box. No. 25752",Er. Hitesh Raj Pant,014249480,abhiyantra2012@gmail.com,www.swat.abhiyantra.com.np/
Resilience Construction And Development (P) Ltd.,"Baneshwor-10, Kathmandu, Nepal",Er. Naresh Nidal,9849628876,rcadnepal@gmail.com,www.facebook.com/rcadians
ArEiCon (P) Ltd.,"Jwagal Chowk -10, Kupondole, Lalitpur",Ar. Gopal Bahadur Kunwar,"01-5424457, 01-5551150","areiconsatelier@gmail.com, Projects.areicon@gmail.com","Www.areicon.com, Www.areicon.com.np, Instagram.com/areicondesign"
B.N. Consultancy (P) Ltd.,"Baneshwor, Kathmandu",Er. Laxman Acharya,01-4105071,bnconsultancy@gmail.com,N/A
Rural Infrastructure & Management Consultant (RIMC) (P) Ltd,"Koteshwor, Kathmandu, Nepal",Mr. Bharat Timsina,"977-01-4600734, 4600735,01-5147278, 01-5147299",rimc.consultant@gmail.com,"www.rimcnepal.com, www.rimc.com.np"
Creative Design Architects (P) Ltd,"Kupondole-1, Lalitpur, Nepal",Ar. Sher Bahadur Chhetri,5545293,sher_kc@yahoo.com,www.ceda-nepal.com
Group of Researcher and National Developers Consult (P) Ltd. (GRAND Consult (P) Ltd.),"Basanta Marga, Babarmahal, Kathmandu, Nepal",Er. Lila Nath Nepal,"01-5324998, 01-5324141",grandconsultants@gmail.com,N/A
Designers Pavilion (P) Ltd.,"Thamel, Kathmandu, Nepal",Ar. Poshan Thapa,4420736,designerspvln@gmail.com,N/A
Harmonic Engineering (P) Ltd.,"Buddhanagar, Kathmandu, Nepal",Er. Raman Shrestha,9852029669,info.harmonicengineering@gmail.com,N/A
MMJ_RR’s Vastu and Engineering Consultancy,"Pokhara, Nepal",Er. Rajendra Ligal,61528959,vrligal@gmail.com,www.vaastu.com.np
Earthquake Safety Solutions,"Sainbu, Bhaisepati, Lalitpur Metropolitan City-25, Nepal",Er. Dev Kumar Maharjan,01-5590664,ess@eqsafety.com.np,www.eqsafety.com.np
Innovative Engineering Services (P) Ltd.,"Lalitpur Metropolitan City-11, Jwagal, Lalitpur",Er. Hari Krishna Dawadi,01-5261774/ 776,info@ies.com.np,www.ies.com.np
Pertinent Engineering Consultancy (P) Ltd.,"Jwagal, Lalitpur, Nepal",Er. Dipendra Kumar Jha,15906786,pertinentnepal@gmail.com,www.pertinentnepal.com
Subway Nepal Engineering Consultant P. Ltd. (SWEC),"Lalitpur -10, Jwagal, Lalitpur",Er. Anand Kumar Jha,9841360414,subwaynepal@gmail.com,N/A
Infrastructure Engineering Research & Consult (P) Ltd. (IERC),"Nagarjun – 1, Rani Ban",Er. Surendra Katwal,01-5103011,consult@ierc.com.np,www.ierc.com.np
Engineers Revisited Consult (P) Ltd,"Lalitpur-10, Nepal",Er. Binod Prakash Pandit,50126110,info.erconsult@gmail.com,www.erconsult.com.np
Development Support Consult (P) Ltd,"Sinamangal 9, Nepal",Dr. Er. Bhesh Raj Thapa,4780253,devsconsult@gmail.com,N/A
D.B. Multi Engineering Consultant (P) Ltd.,"Mahadevsthan marg 10, Baneshwor, Nepal",Er. Deependra Prasad Bhatta,4104361,multidb5@gmail.com,www.dbmulti.com
Global Nepal Engineering Design Consultant (P) Ltd.,"Kalanki, Kathmandu, Nepal",Er. Aashish Khadka,9851037453,"gnedc2017@gmail.com, global.nepalengineering@gmail.com",N/A
ARTISTA Engineering Consultancy (P) Ltd.,"Dhumbarahi-4, Kathmandu, Nepal",Er. Dinesh Raj Bhattrai,01-4410863,artistaengineering@gmail.com,www.artistaengineering.com.np
Picasso Consultant (P) Ltd.,"Pulchowk, Lalitpur, Nepal",Ar. Poonam Bajracharya,5522185,picassoconsultant@gmail.com,www.picasso.com.np
Urban Planning & Design Consultants Nepal (P) Ltd. (UPDCN),"Sanepa, Lalitpur-2, Nepal",Ar. Manish Raj Joshi,01-526646,"info@updcn.com.np, updcnepal@gmail.com",N/A
Nepal Architects Consult (P) Ltd.,"Budibazar, Kaski, Pokhara, Ward no. 26",Ar. Sophiya Gurung,01- 5426646,neparchi015@gmail.com,www.nepalarchitectsconsult.com.np
Soil Water and Air Testing Laboratories (P) Ltd. (SWAT Lab),"Babarmahal, Kathmandu, Nepal",Er. Lokesh Sapkota,01-5349480,swatlab2017@gmail.com,www.swat.com.np
Pyramid Design Associates (P) Ltd.,"Shankadhar Chowk , Madhayapur Thimi, Nepal",Er. Satya Sundar Shrestha,4239772,pyramid.design.associates@gmail.com,www.facebook.com/pyramid.DA
De-Fort (P) Ltd.,"Jawalakhel, Lalitpur Sub-Metropolitan City-03, Nepal",Er. Kichah Chitrakar,01-5544086,de-fort@de-fortnp.com,www.de-fortnp.com/
E. I. Maven (P) Ltd.,"Buddhanagar, New Baneshwor, Kathmandu, Nepal",Er. Sunil Ghaju,01-5906381,"info@eimaven.com.np, bandana.shrestha@eimaven.com.np, ac.eimaven@gmail.com",www.eimaven.com.np
Engineers World (P) Ltd.,"Chandragiri Municipality-10, Satungal, Kathmandu",Er. Padam Oli,01-5913560,erworld70@gmail.com,www.facebook.com/engineersworld
Udaya Consultancy (P) Ltd.,"Puja Pratisthan Marg, Mid Baneshwar, Kathmandu, Nepal",Er. Rakesh Regmi,01-4489393,udayaconsultingpvt@gmail.com,N/A
Planet Test (P) Ltd.,"Shantinagar, KMC-13",Gyan Raj Man Shrestha,"9851187070, +977-01-4107665",planettest2074@gmail.com,www.planettest.com.np
Quest Engineering (P) Ltd.,"Balkhu, Kathmandu, Nepal",Er. Jonesh Joshi,9849404718,questengineering074@gmail.com,N/A
Expert Professionals (P) Ltd.,"35 Narefata, Kathmandu, Nepal",Er. Tek Bahadur Karki,5100349,expertprofessionals2016@gmail.com,N/A
Engineers’ & Trainers’ Associates (ETA Consult (P) Ltd.),"Baluwatar, Kathmandu, Nepal",Er. Prakash Koirala,4445565,etadd@mos.com.np,www.etaconsult.org
Bright Future International (P) Ltd. (BFI),"KMC-10, Mid-Baneshwor, Kathmandu, NepalGPO Box: 6823",Mrs. Shova Kumari Poudel,01-5172078,bf.international2012@gmail.com,www.bfinepal.com
Y.G.F. Consultant (P) Ltd.,"Kirtipur, Kathmandu, Nepal",Er. Ravi Kumar Gupta,9851221987,ygfconsultant@gmail.com,N/A
Finer Engineering Consultancy (P) Ltd,"Dhumbarahi-4, Kathmandu, Nepal",Er. Aadrata Regmi,01-4410863,finer.engineering@yahoo.com,N/A
Green Thumbs Consultants (P) Ltd. (GTC),"Sainbu-18, Lalitpur",Er. Amit Kumar Jha,01-5532456,greenthumbs2071@gmail.com,N/A
Mate Engineering Solution (P) Ltd.,"Kupondole, Lalitpur-10, Nepal",Er. Sudhir Kumar Mishra,"9801053527, 9851210238",sdhrmishra14@gmail.com,N/A
RITI Consultancy (P) Ltd.,"Lalitpur-03, Dhobighat, Lalitpur, Nepal",Mr. Padam Bahadur Tamang,01-5541840,riticonsultant@gmail.com,N/A
RAYS Consult (P) Ltd.,"Kupondole-1, Lalitpur, Nepal",Er. Prabin Singh Bhandari,9851151014,raysconsult12@gmail.com,N/A
Ink Consult (P) Ltd.,"Chakupat, Lalitpur, Nepal",Er. Hari Prasad Paudel,01 – 5260138,inkconsultnepal@gmail.com,www.inkconsult.com.np
Civil Tech (P) Ltd.,"Subidhanagar, Tinkune, Kathmandu, Nepal",Er. Raj Narayan Yadav,01-4111580,civiltechconsultancy@gmail.com,www.civiltech.com.np
Interface Engineering (P) Ltd,"Naxal-1, Kathmandu, Nepal",Er. Birat Bikram Sapkota,01-4544164,info.interfaceeng@gmail.com,N/A
Impulse Consultants (P) Ltd.,"Lazimpat-02, Kathmandu, Nepal",Er. Bhabuk Raj Aryal,01-4038617,"consultants.impulse@gmail.com, impulse@impulseconsultants.com.np",www.impulseconsultants.com.np
Smart Engineering & Design Solution (P) Ltd.,"Gothatar, Kathmandu, Nepal",Er. Jyoti Mani Bhattarai,9851162172,smart.seds.2071@gmail.com,www.seds.com.np
Benchmark Consultants and Lab (P) Ltd.,"Kaushaltar, Bhaktapur, Nepal",Er. Nabin Thakur,01-6634968,mailtobmcl@gmail.com,www.facebook.com/benchmarkconsultants2010
Strength Engineering Company (P) Ltd.,"Kupondole, Lalitpur",Er. Bharat Chalise,01-4783183,consult.strength@gmail.com,N/A
Everest Designers’ League (P) Ltd.,"Asram Marga, Balkhu, Kathmandu",Er. Narottam Shrestha,01-5187338,everestleague@gmail.com,N/A
DesignRipple Structures & Engineering (P) Ltd.,"Krishnadhara Marg, Panipokhari, Maharajgunj- 3, Nepal",Er. Kiran Acharya,9863048686,info@designrippleengr.com,www.designrippleengr.com
Cube Info Company (P) Ltd.,"Bishalnagar, Kathmandu, Nepal",Er. Shushant Koirala,4423194,info@cubeinfo.com.np,N/A
Viswa Consult (P) Ltd.,"Dillibazar, Kathmandu, Nepal",Dr. Er. Biswa Ranjan Singh Shahi,01-4533156,"viswaconsultlab@gmail.com, viswaconsultpvtltd@gmail.com, info@viswaconsult.com",www.viswaconsult.com
Civil Link Engineering Consultant,"Kathmandu-32, Koteshwor",Er. Bharat Prasad Banjara,01-5915628,civillinkengineering@gmail.com,www.clec.com.np
N.S. Engineering & Geo-technical Services (P) Ltd.,"Dhobighat, Lalitpur, Nepal",Er. Ananda Gupta,5268121,nsgeotech@gmail.com,www.nsengineering.com.np
Dynamic Resources Management Services (P) Ltd. (DRMS),"Puja Pratisthan Marga, Baneshwor, Kathmandu",Er. Sandeep Shrestha,"01-4780460, 9801848899",Consultdrms@gmail.com,www.drms.com.np
